q,alpha,regime,N,count,variance_f,normalized_variance_f,excess_f,excess_f_low95,excess_f_high95,excess_g,wick,rhat_f,rhat_f_squared,ess_f,ess_f_fourth,q_mean_energy,q_variance_energy
0.5,2.2,rough-high,128,24000,18273.886977768092,0.022995508601889307,0.6488790030340179,0.4504506770270196,0.8544147624730547,0.7002578948738205,0.23801122351236031,1.0025632790434953,1.0007109709291795,2556.7140192092224,5815.657500305928,1.000476645161124,0.9623428249470654
0.5,2.2,rough-high,256,24000,110495.64122318798,0.019965180627009225,0.7421955808064515,0.5644556332551863,0.9489503131132135,0.3781768031735453,0.1954925034770968,1.000104971068713,1.0000013213490846,8405.076260398098,9915.354578433944,1.0004390668415928,1.016993605226464
0.5,2.2,rough-high,512,24000,654271.0391661811,0.016974688222839145,0.5914243753129207,0.4549222624256198,0.7235917756573502,0.5188272594095662,0.26008194450282857,1.0000545346649974,1.0005420368203812,7562.616696814443,8631.438641656296,1.0002668860130781,1.0372830677389198
0.5,2.25,upper-critical,32,24000,714.2003124075608,3.144502630666128,0.7112299998913656,0.6003477234658868,0.823945959630952,0.6995772992144613,0.3492584697886463,1.000378208410673,1,5188.131437868596,9951.485826372897,1.0011869247464362,0.9733990529155859
0.5,2.25,upper-critical,64,24000,4443.129867858905,5.070560058974416,0.7402576638203979,0.5487240047743712,0.959300508903715,0.4702728433987384,0.3000120978539337,1.0009332005186042,1.0003577338907508,3255.6581519497677,6612.65158106205,1.000783355529575,1.0087685942098648
0.5,2.25,upper-critical,128,24000,27280.811877833065,7.209769595665934,0.7999730604088153,0.5487264056554471,1.075763886440247,0.42529514662517043,0.23447183809160815,1.0003868027309748,1.000095093697988,9212.792827778623,8825.019627531961,1.0004646790216631,0.9997996993310784
0.5,2.25,upper-critical,256,24000,178760.51989554765,10.074268123254882,0.6203969213503262,0.4754991742183456,0.7740762059724345,0.3372292194407107,0.24359302381933856,1.000213557567911,1.0001750994993557,7881.351408605689,9482.591649950484,0.9985766825179397,0.9830974176475265
0.5,2.25,upper-critical,512,24000,1080836.2453879695,12.19612590657618,0.6732652651464774,0.5225951583003992,0.832027044102336,0.38719283301867247,0.2439365308505131,1.0004683842184725,1.0003131456878673,7712.673276000716,9306.817242128418,1.0003050877899191,0.9903225766518992
0.5,2.4,near-diffusive,32,24000,1543.30655156008,0.047097978258059066,0.9436017266829104,0.7489234049883715,1.1384463834040464,0.5597909972967781,0.2968938891375829,1.0004222218692118,1.0005080832580695,3615.1465608375265,6147.511217514115,0.9983974311919094,0.9787494889798369
0.5,2.4,near-diffusive,64,24000,10693.133130207072,0.040791065712765015,0.6151958131774551,0.4949138441971793,0.7417505420905124,0.2975912385431223,0.19575437097419937,1.000369965206562,1.0005027864494325,1587.259216629444,5289.161124510886,0.9995920835127408,0.9801612262364348
0.5,2.4,near-diffusive,128,24000,79625.04527313044,0.03796818030983468,0.5974555092621481,0.4778572797632283,0.7204352158016967,0.5186715833528366,0.2894949244061161,1,1.000330221678309,10163.588710520688,10484.79052947601,0.9998835007866972,0.9962883302843893
0.5,2.4,near-diffusive,256,24000,559274.9996485318,0.033335387685807454,0.5526207906580551,0.40271293920916457,0.7016036981460558,0.2845770256499227,0.15864736815683617,1.0003900508966785,1.000117968729939,8510.054774765471,10184.554500488299,1.0011911843090828,0.9784168602369356
0.5,2.4,near-diffusive,512,24000,3972000.624741925,0.029593710785671502,0.3227923997189053,0.20337114520371824,0.43620162248798805,0.2607582438304461,0.1509115579536459,1.0005501914233947,1.0000731461510075,8468.313995829263,9260.255095622684,0.9999319653895882,0.999853126183047
0.5,3.5,diffusive,32,24000,21824.64373660192,0.6660352702820409,0.2902816951697864,0.052391807940377295,0.575617989277623,0.8289215348359984,0.21125127685283385,1.0039128430943485,1.000908988195189,677.6003935161533,2059.8822528368964,1.0005495389008028,0.9769216874146898
0.5,3.5,diffusive,64,24000,182319.20223523694,0.6954925622376897,0.542568802961517,0.034286968713435034,0.9344212208681418,0.022885018515042876,0.03907801438671462,1.0142649360030889,1.002904907935489,330.4251357511756,568.0735469091728,0.9970338897742413,0.9881035821963763
0.5,3.5,diffusive,128,24000,1606630.4877048628,0.7661011160396873,0.15907752931758123,0.058752898814391594,0.26418309892436914,0.17136627728979947,0.024550780108191606,1,1.0008661425902767,10025.21326888837,8429.819203377288,1.0002579249386954,0.9894309495475404
0.5,3.5,diffusive,256,24000,12558288.048077643,0.7485322980927016,0.09845689952151693,-0.007162989380618964,0.19729050414776358,0.10321049641945068,0.0028261305604662646,1.0000906409916719,1.0000953712165246,9341.459684898171,8557.218373687334,1.0000149335113757,0.9837262383891362
0.5,3.5,diffusive,512,24000,101700108.31437771,0.757724853712154,0.12479692061651981,-0.007312748413353996,0.2751985713548229,0.041982276964118714,0.012419847254317003,1.0001997265088642,1.0004906984872175,7216.785123407575,6180.293341611457,1.0006354307429994,1.0142790867666285
1,1.75,localized,32,24000,14.286927537631898,0.03318382007671906,0.2488519100204325,0.16277719312107786,0.33230101217171987,0.19292419232840663,0.10469262789283544,1,1,17869.27522617218,22297.66514088076,1.002185345129997,0.9893314716331212
1,1.75,localized,64,24000,50.481465267562044,0.03485916642082647,0.17388704527009313,0.11268999116741982,0.2413079623244633,0.10149718619113868,0.06915594310872998,1.000054258396997,1.000036144038329,17935.825610715627,22684.331156261396,1.0006501516264916,0.999365209436152
1,1.75,localized,128,24000,169.906675130408,0.034881326671102914,0.1617069557474875,0.09328689506052971,0.2312196374132054,0.11618470557219363,0.07700270394248587,1.000173492700306,1.0001544208487296,16340.256859488803,20363.526392118318,0.9999764527856047,1.0005049187251844
1,1.75,localized,256,24000,601.1872359882893,0.03669355688405086,0.12239606483059973,0.05456156796524194,0.19254943761138857,0.09392518895274504,0.04432831790698787,1,1.0000586778583038,15499.50920671766,21011.064915917537,0.9999937870808309,1.0101551191193239
1,1.75,localized,512,24000,2093.828044389169,0.03799431164520009,0.1251297655504966,0.04678622395159235,0.2235696601867614,0.10887624935236984,0.05958270220325524,1.0000432678828073,1.0000584599796374,14117.290039301952,18806.274848050038,1.000026612820264,1.0040905892691334
1,2,lower-critical,32,24000,54.64010962205458,0.015396292028392086,0.3819286169950522,0.25668037633703966,0.5209600648865651,0.2314646750264746,0.15096250126121372,1.000254705818681,1,14772.49722296495,18967.972900068326,1.0014903358628915,1.0007843642304073
1,2,lower-critical,64,24000,232.96532890901162,0.013675859566898492,0.2522288288681289,0.17140168133262945,0.33839846358553494,0.2197438997032508,0.13159549883001379,1,1.0000816992814558,12111.954317267318,18075.03239112066,0.9988872774267463,0.9990146531883238
1,2,lower-critical,128,24000,1026.777090047645,0.012916139577899504,0.27088683919509604,0.18717115274066773,0.36676992004636944,0.15015792767593794,0.12359000297297043,1,1,9827.183633921833,18257.564434462478,1.0000133485052936,0.9905842382878065
1,2,lower-critical,256,24000,4248.958827257867,0.011691955240299815,0.27916023331935547,0.18071387674559872,0.37761171213887623,0.10168571753864875,0.09605569744278156,1.00044818617128,1,8779.018814173824,17049.14606703689,0.9999406727643255,1.014339871637164
1,2,lower-critical,512,24000,18874.31071176887,0.011541525295709561,0.23248132951230271,0.14433302122963698,0.32788020000221274,0.14174998278812545,0.11622587340196716,1.0004802395307102,1,6396.268619454185,17774.649692109528,1.0003746334675587,1.0026716903548125
1,2.25,rough-mid,32,24000,171.23214153280472,0.029560402449936747,0.42084798201562545,0.3379497839365241,0.5045059637110412,0.2660406726563198,0.135081906948508,1.0002937468880062,1.000073930995643,10192.21228759867,15018.237127363911,1.001388860832296,1.016173766880936
1,2.25,rough-mid,64,24000,917.4983423415065,0.027999827341964913,0.3101906741902858,0.2207984473990638,0.40777383577403903,0.19257514640929285,0.11444021622811151,1.0004004767633452,1.000043041445539,7022.7167612740905,14181.713511500333,1.0021143499582448,1.0162959236350595
1,2.25,rough-mid,128,24000,4828.626537050751,0.026049458070113385,0.34407104609316086,0.2581248240786094,0.426593987668998,0.2639235651862286,0.11419008953292019,1.0002339023551825,1,4850.731824865321,12053.481631139784,0.9993528098038743,1.0120207780823551
1,2.25,rough-mid,256,24000,27260.824683264516,0.025997948344482914,0.30731887260236634,0.17247739530607922,0.4394258862514663,0.18905360499321722,0.17586419552560803,1.0009876702419092,1.0000240229277966,2637.205977552552,7680.378515795705,0.9995251599581939,0.9931525738028926
