date_reported,data_type_id,location_id,covid_measure_id,mean,upper,lower,dt_mean,dt_upper,dt_lower,data_class_id
1/5/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/12/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/13/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/14/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/15/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/16/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/17/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/18/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/19/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/20/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/21/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/22/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
