"covid_measure_id","location_id","date_reported","data_type_id","scenario_id","mean","upper","lower","dt_mean","dt_upper","dt_lower","data_class_id.x","date","location_name","covid_measure_name","data_class_id.y","definition","datatype","scenario_name"
1,145,2020-02-15,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-15,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-16,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-16,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-17,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-17,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-18,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-18,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-19,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-19,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-20,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-20,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-21,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-21,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-22,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-22,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-23,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-23,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-24,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-24,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-25,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-25,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-26,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-26,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-27,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-27,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-28,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-28,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-29,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-29,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-01,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-01,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-02,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-02,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-03,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-03,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-04,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-04,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-05,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-05,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-06,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-06,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-07,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-07,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-08,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-08,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-03-09,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-03-09,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
